,Confirmed,Active,Recovered,Deceased,Population
Maharashtra,180298,79091,93154,8053,123144223
Tamil Nadu,94049,39859,52926,1264,77841267
Delhi,89802,27007,59992,2803,18710922
Gujarat,33232,7335,24030,1867,63872399
Uttar Pradesh,24056,6709,16629,718,237882725
West Bengal,19170,5959,12528,683,99609303
Rajasthan,18312,3317,14574,421,81032689
Telengana,17357,9008,8082,267,39362732
Karnataka,16514,8198,8063,253,67562686
Andhra Pradesh,15252,8071,6988,193,53903393
Haryana,14941,4202,10499,240,28204692
Madhya Pradesh,13861,2625,10655,581,85358965
Bihar,10249,2233,7946,70,124799926
Assam,8582,2719,5851,12,35607039
Jammu and Kashmir,7695,2734,4856,105,13606320
Odisha,7316,1938,5353,25,46356334
Punjab,5668,1652,3867,149,30141373
Kerala,4593,2130,2439,24,35699443
Uttarakhand,2947,589,2317,41,11250858
Chhattisgarh,2940,623,2303,14,29436231
Jharkhand,2521,575,1931,15,38593948
Tripura,1396,302,1093,1,4169794
Goa,1387,713,670,4,1586250
Manipur,1260,681,579,0,1586250
Ladakh,990,295,694,1,289023
Himachal Pradesh,979,355,614,10,7451955
Puducherry,714,430,272,12,1413542
Nagaland,459,291,168,0,2249695
Chandigarh,446,73,367,6,1158473
Dadra and Nagar Haveli,215,129,86,0,615724
Arunachal Pradesh,195,128,66,1,1570458
Mizoram,160,37,123,0,1239244
Sikkim,101,48,53,0,690251
Andaman and Nicobar,100,50,50,0,417036
Meghalaya,52,9,42,1,3366710
Lakshadweep,0,0,0,0,73183
